k_mers,matrix_type,algo_name,best_n_neighbors,accuracy,f1_score,error_rate,cv_accuracy_mean,cv_std
2,boolean,KNN,9,0.9444444444444444,0.9439153439153439,0.0,0.8835164835164834,0.097635368269192
2,occurrence,KNN,3,1.0,1.0,0.0,0.8835164835164834,0.097635368269192
3,boolean,KNN,3,0.8333333333333334,0.8249721293199553,0.0,0.8835164835164834,0.097635368269192
3,occurrence,KNN,3,0.8888888888888888,0.886002886002886,0.0,0.8835164835164834,0.097635368269192
4,boolean,KNN,3,1.0,1.0,0.0,0.8835164835164834,0.097635368269192
4,occurrence,KNN,3,1.0,1.0,0.0,0.8835164835164834,0.097635368269192
